"siret","code","workforce_count","coordinates","usual_name"
"35780038200024","43.99C",35,"(49.116608,6.647203)","ALBIZZATI ET CIE"
"38372971200018","33.20A",35,"(49.116508,6.647103)","ETUDES REALISATION MONTAGE"
"44101250700030","43.32A",35,"(49.104984,6.647864)","FERMETURE MENUISERIE DU BATIMENT"
"42893682700024","43.32B",35,"(49.050742,6.6657)","SERRURERIE MOSELLANE"
"44273990000037","43.29A",35,"(49.17506,6.877228)","S E GUNAY"
"44460844203251","35.13Z",35,"(49.179942,6.883337)","ENEDIS"
"35154546200035","43.31Z",35,"(49.194675,6.926796)","KUPELI"
"38906546700034","43.22B",35,"(49.197488,6.931382)","ETS BERTIN HOY"
"42186325900048","27.11Z",375,"(49.175042,6.913905)","SEW USOCOME"
"40158033700020","25.72Z",35,"(49.098103,6.853028)","FORT SECURITE  -  ROLEZ"
"42311226700038","43.99B",35,"(49.104252,6.844823)","TSV"
"38978266500050","10.71C",35,"(49.401757,6.223324)","SARL SCHERRER"
"40937773600023","33.14Z",150,"(49.407663,6.236688)","VALIANCE"
"43827703001011","33.12Z",75,"(49.406687,6.246048)","ENDEL"
"39355646900038","42.22Z",35,"(48.770422,7.269749)","EST RESEAUX"
"38110708500015","01.61Z",150,"(48.775146,7.169827)","KUCHLY"
"33989693800067","33.20A",35,"(49.186394,6.702611)","INPAL ENERGIE"
"36280021100017","33.17Z",150,"(49.205538,6.694774)","SOCIETE LORRAINE DE MATERIEL FERROVIAIRE"
"41003460702447","36.00Z",35,"(49.188133,6.702414)","SUEZ EAU FRANCE"
"34300619300027","43.32A",35,"(48.821486,6.72239)","ESCALIERS SOMME"
"39307050300023","38.22Z",35,"(48.81905,6.72304)","EURO DIEUZE INDUSTRIE"
"41051079600023","25.62B",35,"(48.966766,6.789004)","SARL SOCALTRA"
"36080074200056","11.07B",35,"(48.914215,6.911241)","ETABLISSEMENTS GEYER FRERES"
"44460844203384","35.13Z",35,"(49.329844,6.064373)","ENEDIS"
"34892893800045","10.71C",35,"(49.287508,6.117989)","BOULANGERIE-PATISSERIE LA ROSE"
"33135528900033","25.61Z",35,"(49.324739,6.136137)","NORD CHROME"
"38325260800302","42.12Z",35,"(49.330822,6.126043)","ETF"
"42268106400040","43.12A",35,"(49.33435,6.109444)","EGM"
"42972636700049","38.31Z",35,"(49.313919,6.123525)","VALOPREST"
"44417892500038","43.99C",35,"(49.32778,6.134149)","IDEA CONSTRUCTION"
"40845542600028","25.50B",150,"(49.312028,6.148892)","ARCELORMITTAL TAILORED BLANKS LORRAINE SAS"
"38344101100012","43.32A",35,"(49.35314,6.042688)","SOCIETE LORRAINE D'EQUIPEMENT BATIMENT"
