"siret","code","workforce_count","coordinates","usual_name"
"34128748000030","18.14Z",75,"(48.714097,6.250404)","CLEMENT SA"
"34510605800034","43.99C",35,"(48.708835,6.252727)","ENDUIEST"
"39467897300022","43.21A",35,"(48.705928,6.250079)","ECDA"
"34845812600029","43.99E",35,"(48.614431,6.208229)","SOCIETE DE LOCATION TRAVAUX PUBLICS"
"39776783100738","42.22Z",150,"(48.616219,6.203832)","SOGETREL"
"40986794200545","42.22Z",35,"(48.614631,6.208229)","INEO INFRACOM"
"41941439600038","18.12Z",35,"(48.614531,6.208329)","VAGNER GRAPHIC"
"40108613700023","43.32B",35,"(48.641149,6.188303)","BRAYER"
"43518028600054","41.20A",35,"(48.643812,6.180752)","AQUA BAT"
"34214913500010","42.22Z",35,"(48.601754,6.414236)","SOCIETE EUROPEENNE D EQUIPEMENT SIMOES"
"38309929800044","32.50A",35,"(48.766085,5.174422)","GOMADENT"
"43484545900024","43.99C",35,"(48.685867,5.320024)","SARL DOS SANTOS"
"44460844200539","35.13Z",35,"(48.759764,5.175085)","ENEDIS"
"34131352600046","42.22Z",35,"(49.165797,5.414034)","ELECTRO LORRAINE LIGNES"
"44460844203624","35.13Z",35,"(49.155488,5.386767)","ENEDIS"
"34992552900027","43.22B",35,"(49.17297,5.363249)","LORRAINE ENERGIE"
"44322536200021","43.99C",35,"(49.164081,5.368088)","ENTREPRISE VARNEROT"
"35088029000027","43.99C",35,"(48.549479,5.470011)","HOUDELAINCOURT CONSTRUCTION TRADITION"
"40103468100015","43.12B",35,"(48.765777,5.586601)","SARL CHARDOT TP"
"41297349700032","43.22A",35,"(48.755328,5.58759)","SARL LHERITIER"
"40228152100029","14.14Z",75,"(48.615029,5.671198)","TEXTILES DE VAUCOULEURS"
"34239979700022","23.52Z",75,"(48.715402,5.657703)","SOC DES FOURS A CHAUX DE SORCY"
"35324723200013","25.62B",35,"(48.695187,5.73678)","ATELIERS CONSTRUCTION MECANIQUE GENERALE"
"44299328300047","08.11Z",35,"(48.68764,5.72794)","NOVACARB"
"33998569900026","43.31Z",35,"(48.620221,5.7068)","ELVINGER"
"34789084000015","42.13A",150,"(49.064561,5.433645)","BERTHOLD SA"
"34902027100012","23.52Z",75,"(49.115754,5.381633)","CARRIERES & FOURS A CHAUX DE DUGNY"
"43799814900011","43.99B",35,"(49.051259,5.488862)","EUROPE ECHAFAUDAGE"
"44389498500011","43.91B",35,"(49.037958,5.434462)","SARL PALAZZO"
"42990849400025","43.21A",35,"(49.332143,5.663197)","HIRSCHAUER"
"34938537700065","02.40Z",35,"(49.376267,5.350308)","WOLFF"
"42343486900032","10.71D",35,"(48.892356,5.541315)","SEREIVAN"
"37773335700018","22.19Z",35,"(48.932055,5.488285)","SOC ETUDE REALISATION CAOUTCHOUC"
"37759916200015","20.41Z",150,"(48.858394,5.540302)","INNOSPEC PERFORMANCE CHEMICALS FRANCE"
"37848312700015","43.32A",35,"(48.785851,5.005663)","PAQUATTE ET FILS"
"44279375800016","43.32A",35,"(48.784791,5.005846)","LORRAINE CHAMPAGNE POSE"
"38067645200010","43.12A",35,"(49.156414,5.627069)","SA LAMBERT DANIEL"
"38456422500033","28.99B",35,"(49.533906,5.297831)","BUGNOT 55"
"35014661900027","22.29A",35,"(47.568165,-2.510811)","L'OCEANE DES PLASTICS"
"39064601600019","43.31Z",35,"(47.516641,-2.292321)","THOBY JOSEPH SARL"
"41839189200027","43.39Z",35,"(47.579616,-2.334872)","EMBELL'FACADE"
"38108782400011","43.12A",75,"(47.536413,-2.166171)","LEMEE LTP"
"44391539200015","43.99B",35,"(47.537349,-2.328851)","RYO ENTREPRISE SAS"
"44432389300024","10.71D",75,"(47.530243,-2.327285)","PATISSNACK"
"44062007800038","43.91B",35,"(47.521555,-2.402045)","COUVERTURE HILLION"
"34315912500024","43.32A",150,"(47.575483,-2.406369)","CHARPENTE MENUISERIE BRETAGNE SUD"
"40075376000026","33.15Z",35,"(47.732762,-3.369324)","PIRIOU NAVAL SERVICES"
"41345839900032","42.22Z",35,"(47.745642,-3.395905)","SDEL ATLANTIS"
"44010050100020","43.32B",35,"(47.771529,-3.401612)","METAL DESIGN"
"33185774800015","43.99D",35,"(47.779413,-3.335169)","FORA SCIE"
"38185633500033","43.21A",35,"(47.778113,-3.331087)","LE TEUFF ELECTRICITE"
"43229320700010","43.22B",35,"(47.776379,-3.353918)","ANVOLIA"
"40321826600019","10.71C",35,"(47.736296,-3.427968)","SARL VIALLARD"
"43408539500086","42.22Z",35,"(47.731002,-3.423842)","SPIE CITYNETWORKS"
"43463949800022","43.22A",35,"(47.745686,-3.412134)","ARCHIMEDE"
"38249851700020","43.32B",35,"(47.791924,-3.270413)","GUILLERMIC"
"33759635700042","43.32A",35,"(47.808619,-3.477295)","PLASSART MENUISERIE"
"40243798200018","43.21A",35,"(47.779969,-3.415353)","SARL JC ANDRE"
"33989917100021","43.32A",35,"(47.84264,-3.167605)","LA MORBIHANNAISE DES FERMETURES"
"41308040900035","01.62Z",35,"(47.833288,-3.160141)","SARL AGRI VOLAILLES"
"33133715400065","25.62B",75,"(47.782606,-3.334394)","ETS F.MEUNIER"
"33487372602169","43.22B",35,"(47.782022,-3.352628)","PROXITHERM"
"34412943200078","43.12A",35,"(47.786406,-3.348083)","TRAVAUX PUBLICS 56 SERVICES LOCATION"
"34775654600086","18.12Z",35,"(47.786556,-3.349541)","ICONES"
"38981890700336","43.21A",35,"(47.784164,-3.355038)","BRUNET SNERE"
"39464209400020","43.12A",75,"(47.78641,-3.34742)","MAHE HUBERT S.A.S."
"39997725500039","43.29A",35,"(47.780548,-3.350676)","EVENO ISOLATION"
"41028510000013","43.32B",35,"(47.783984,-3.346414)","S C E M B 56"
"41505362800343","41.10A",35,"(47.78469,-3.34131)","TRETCOBAT COMMERCIALISATION"
"44460844201610","35.13Z",150,"(47.786733,-3.32786)","ENEDIS"
"44478651105062","35.22Z",35,"(47.784628,-3.338955)","GRDF"
