"Source";"Target";"Weight"
"B1201";"G1202";0.9
"B1201";"H2803";0.9
"B1201";"K1203";0.5
"B1201";"K1203";0.5
"B1201";"K2111";0.5
"B1301";"B1806";0.5
"B1301";"D1506";0.5
"B1301";"E1107";0.5
"B1301";"F1102";0.9
"B1301";"L1503";0.9
"B1302";"B1101";0.9
"B1302";"B1201";0.5
"B1302";"B1303";0.5
"B1302";"B1402";0.5
"B1302";"B1602";0.5
"B1302";"D1201";0.5
"B1302";"G1202";0.9
"B1302";"H2803";0.9
"B1302";"H3402";0.9
"B1302";"H3404";0.9
"B1302";"H3404";0.9
"B1302";"K2105";0.5
"B1302";"K2105";0.5
"B1303";"B1101";0.9
"B1303";"B1302";0.9
"B1303";"B1601";0.5
"B1303";"B1602";0.5
"B1303";"B1603";0.9
"B1303";"D1201";0.5
"B1303";"E1306";0.5
"B1303";"E1306";0.5
"B1303";"F1612";0.5
"B1303";"F1612";0.5
"B1303";"G1202";0.9
"B1303";"K2105";0.5
"B1401";"A1414";0.5
"B1401";"B1501";0.5
"B1401";"G1202";0.9
"B1401";"H2208";0.5
"B1401";"K1203";0.9
"B1401";"K1203";0.9
"B1401";"K2111";0.5
"B1402";"B1302";0.5
"B1402";"B1802";0.5
"B1402";"D1201";0.5
"B1402";"G1202";0.5
"B1402";"H2208";0.5
"B1402";"K1602";0.5
"B1501";"B1601";0.9
"B1501";"D1201";0.9
"B1501";"D1211";0.9
"B1501";"D1301";0.5
"B1501";"D1402";0.5
"B1501";"H2207";0.5
"B1501";"H2208";0.5
"B1501";"H2902";0.9
"B1501";"K2111";0.5
"B1601";"B1101";0.9
"B1601";"B1603";0.9
"B1601";"G1202";0.9
"B1601";"H2901";0.9
"B1601";"H2902";0.9
"B1601";"H2904";0.9
"B1601";"H2908";0.5
"B1601";"H3401";0.9
"B1601";"H3402";0.9
"B1601";"H3403";0.9
"B1601";"K2111";0.5
"B1602";"B1101";0.9
"B1602";"B1201";0.9
"B1602";"B1302";0.9
