siret,naf,ri,F_1_4,F_2_2,F_2_4,F_3_3
34892893800045,10.71C,2187.31,0.2,0,9.93,0.48
40361111400014,10.71C,2187.31,0.2,0,9.93,0.48
39232428100022,28.22Z,3309.36,1.2,6.52,2.21,0.77
40956448100029,28.11Z,4233.9,2.5,9.81,2.4,1.85
41458244500014,10.71C,2187.31,0.2,0,9.93,0.48
35404520500029,31.01Z,3381.04,3.2,5.15,2.44,1.28
40867628600011,10.71D,2187.31,0.2,0,9.93,0.48
33192819200011,38.32Z,2207.54,0.7,0,2.49,0.37
37904139500052,28.13Z,5078.28,10,5.33,2.42,4.26
42438593800057,29.31Z,3521.05,1.1,7.37,2.4,0.5
44205781600021,29.32Z,2927.23,5.2,0.8,2.43,2.66
34789209300043,17.21B,7414.49,10,1.93,7.32,10
44378278400070,29.32Z,2927.23,5.2,0.8,2.43,2.66
38116434200010,10.71D,2187.31,0.2,0,9.93,0.48
40305211101196,10.71C,2187.31,0.2,0,9.93,0.48
41328425800048,10.71C,2187.31,0.2,0,9.93,0.48
34482524500089,14.14Z,3823.93,0.5,10.0,2.24,0.49
40977308200014,10.71C,2187.31,0.2,0,9.93,0.48
38839361300012,10.71C,2187.31,0.2,0,9.93,0.48
33914520300016,10.71C,2187.31,0.2,0,9.93,0.48
38254979800017,17.21B,7414.49,10,1.93,7.32,10
40254234400013,10.71C,2187.31,0.2,0,9.93,0.48
44311842700022,38.21Z,4021.27,1.4,10.0,2.4,0.75
34068438000033,08.12Z,4521.07,4.2,10.0,2.14,3.03
38201714300027,25.99B,11511.75,10,10,4.89,7.43
38093521300039,25.11Z,3988.08,3.3,10.0,2.17,0.74
39290706900018,24.43Z,3206.99,6.1,0.32,2.18,4.47
34920126900017,25.11Z,3988.08,3.3,10.0,2.17,0.74
34940308900031,22.22Z,4624.56,9.4,0,2.51,9.09
40248166700010,25.73A,5869.8,2.6,10,4.45,1.93
43393632500029,25.73A,5869.8,2.6,10,4.45,1.93
43881012900033,29.32Z,2947.31,5.4,0.8,2.43,2.66
39965363300012,22.29B,5505.11,6.5,3.84,5.03,5.69
33976544800016,26.12Z,2441.56,2.8,0,2.26,1.73
37585015300061,25.73B,5853.16,2.5,10,4.45,1.93
34582029400014,10.51C,16463.63,6.2,10,9.89,8.91
34622002300011,10.51D,16463.63,6.2,10,9.89,8.91
33517241700073,10.71B,2187.31,0.2,0,9.93,0.48
34940989600058,10.11Z,6023.33,7.1,8.33,2.58,6.05
41410514800012,10.39A,6111.47,0.9,10,5.27,1.13
